study_id,source_name,source_type,source_url,access_method,retrieval_date,license_or_usage_notes,fields_extracted,known_limitations,appraisal_confidence
HOM-01,"Baxter et al. (2019), Housing First systematic review and meta-analysis of RCTs",systematic_review,https://pubmed.ncbi.nlm.nih.gov/30777888/,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations","Four RCTs; health estimates imprecise, housing and utilization outcomes more favorable.",moderate
HOM-02,"Peng et al. (2020), Community Guide review of permanent supportive housing with Housing First",systematic_review,https://pubmed.ncbi.nlm.nih.gov/32732712/,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Twenty-six U.S. and Canadian comparative studies; program models and outcomes vary.,high
HOM-03,"HUD Family Options Study, three-year impacts",randomized_evaluation,https://www.huduser.gov/portal/sites/default/files/pdf/family-options-study-full-report.pdf,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations","Large U.S. family study; applies to families in emergency shelter, not all homeless populations.",high
HOM-04,Centre for Homelessness Impact effectiveness evidence and gap map,evidence_gap_map,https://www.homelessnessimpact.org/publication/evidence-and-gap-maps-effectiveness-v3,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Broad international map; evidence concentration does not itself establish effectiveness.,moderate
REE-01,"Beaudry et al. (2021), psychological interventions in prison meta-analysis",systematic_review,https://pubmed.ncbi.nlm.nih.gov/34419185/,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations","RCT synthesis; intervention types, settings, and risk of bias vary.",high
REE-02,Campbell review of cognitive-behavioral programs for criminal offenders,systematic_review,https://www.campbellcollaboration.org/review/criminal-offenders-cognitive-behavioural-programmes/,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Older synthesis through 2004; implementation quality moderates effects.,moderate
REE-03,NIJ review of returning-offender programs and promising practices,government_evidence_review,https://nij.ojp.gov/redirect-legacy/about/director/Pages/muhlhausen-research-on-returning-offender-programs-and-promising-practices.aspx,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Narrative synthesis emphasizing limited replication and mixed employment-program results.,moderate
REE-04,"NIJ, Ex-Offender Job Placement Programs Do Not Reduce Recidivism",government_evidence_review,https://nij.ojp.gov/library/publications/ex-offender-job-placement-programs-do-not-reduce-recidivism,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Brief review; employment benefits and recidivism effects must be separated.,moderate
REE-05,"Petrosino et al., Scared Straight review",systematic_review,https://ojp.gov/library/publications/scared-straight-and-other-juvenile-awareness-programs-prevention-juvenile,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations","Trials are older, but direction of harmful effect is consistent enough to reject use.",high
REE-06,RAND correctional education meta-analysis,systematic_review,https://www.rand.org/content/dam/rand/pubs/research_reports/RR200/RR266/RAND_RR266.pdf,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Mostly quasi-experimental evidence; selection and program heterogeneity remain.,moderate
CJ-01,"Braga et al. (2019), hot spots policing systematic review",systematic_review,https://www.ojp.gov/library/publications/hot-spots-policing-and-crime-reduction-update-ongoing-systematic-review-and,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Large mostly U.S. evidence base; tactics within hot spots differ materially.,high
CJ-02,"National Academies (2018), Proactive Policing: Effects on Crime and Communities",consensus_report,https://nap.nationalacademies.org/catalog/24928/proactive-policing-effects-on-crime-and-communities,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Consensus synthesis; community and long-run outcomes less studied than crime.,high
CJ-03,"Petersen et al. (2023), police stops systematic review and meta-analysis",systematic_review,https://nij.ojp.gov/library/publications/police-stops-reduce-crime-systematic-review-and-meta-analysis,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Finds place-level crime effects alongside adverse individual effects.,high
CJ-04,CrimeSolutions practice profile: Hot Spots Policing,government_evidence_review,https://crimesolutions.ojp.gov/ratedpractices/hot-spots-policing,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",Transparent profile of 65 studies; does not imply every tactic is beneficial.,high
CJ-05,Campbell review of restorative justice conferencing,systematic_review,https://nij.ojp.gov/library/publications/are-restorative-justice-conferences-effective-reducing-repeat-offending,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations","Eligible participants and voluntary, well-facilitated models limit generalization.",moderate
IMM-01,"Heller and Mumma (2023), randomized adult English training evaluation",randomized_evaluation,https://www.aeaweb.org/articles?id=10.1257%2Fpol.20210336,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",One Massachusetts program with lottery applicants; strong internal but limited external validity.,high
IMM-02,"Hainmueller et al. (2018), randomized naturalization fee-voucher study",randomized_evaluation,https://pmc.ncbi.nlm.nih.gov/articles/PMC5798346/,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",New York registrants already interested in naturalization; application is an intermediate outcome.,high
IMM-03,"Hainmueller et al. (2019), standardized fee-waiver application study",quasi_experimental,https://pmc.ncbi.nlm.nih.gov/articles/PMC6708319/,public web page or public PDF,2026-06-12,Publicly accessible for research citation; source copyright retained; do not redistribute full text without checking terms.,"citation, design, population, outcomes, direction/magnitude, limitations",National policy discontinuity supports causal inference but relies on administrative assumptions.,moderate
